backbone,method,transform,metric,n,mean,ci_lo,ci_hi
efficientnet_b0,LayerCAM,brightness,iou,38,0.8914549378436396,0.8433218210847236,0.9295829246569675
efficientnet_b0,LayerCAM,noise,pearson,38,0.9036455674255466,0.8607043965668095,0.9388795114115899
efficientnet_b0,LayerCAM,noise,ssim,38,0.810562133620043,0.7803434783705211,0.8408487190205101
efficientnet_b0,LayerCAM,noise,iou,38,0.6850053539914442,0.6306123478277982,0.7374115934562356
efficientnet_b0,ScoreCAM,blur,pearson,12,0.3866943707748805,0.11159618396047223,0.6527277000472039
efficientnet_b0,ScoreCAM,blur,ssim,12,0.5004138904139377,0.3709560792609493,0.6335188008832836
efficientnet_b0,ScoreCAM,blur,iou,12,0.3267135333027554,0.18262211365326786,0.49827312980437105
efficientnet_b0,ScoreCAM,rotate,pearson,12,0.834136427597692,0.7481884894831501,0.9162468544898911
efficientnet_b0,ScoreCAM,rotate,ssim,12,0.6956366077208419,0.6401007524977659,0.749977023515859
efficientnet_b0,ScoreCAM,rotate,iou,12,0.6123677380305287,0.4917487803521967,0.7286030940332311
efficientnet_b0,ScoreCAM,brightness,pearson,12,0.9527472842383228,0.8987172971328956,0.9878153627064424
efficientnet_b0,ScoreCAM,brightness,ssim,12,0.9125978780427694,0.8624953283570576,0.9535499093791906
efficientnet_b0,ScoreCAM,brightness,iou,12,0.79550485055382,0.6577141757757363,0.8950624161278983
efficientnet_b0,ScoreCAM,noise,pearson,12,0.8704847593348584,0.7902351903924987,0.9355461139290415
efficientnet_b0,ScoreCAM,noise,ssim,12,0.800621720433572,0.7422958222309343,0.8596569338311425
efficientnet_b0,ScoreCAM,noise,iou,12,0.6475956800097403,0.5411095348651781,0.7528335866399877
resnet50,EigenCAM,blur,pearson,38,0.7473589429352477,0.6476569282369599,0.8338494548528266
resnet50,EigenCAM,blur,ssim,38,0.7003063631631041,0.6409462871812573,0.7598063353137706
resnet50,EigenCAM,blur,iou,38,0.547392258171385,0.4712576029252373,0.6198169434008064
resnet50,EigenCAM,rotate,pearson,38,0.8915925622417978,0.8383394698043461,0.9285611661192709
resnet50,EigenCAM,rotate,ssim,38,0.718641851331121,0.6779936623837173,0.7492324842757491
resnet50,EigenCAM,rotate,iou,38,0.693303895886249,0.6498578726823824,0.7310875221802265
resnet50,EigenCAM,brightness,pearson,38,0.9556265926254087,0.8882206037020918,0.993060209165352
resnet50,EigenCAM,brightness,ssim,38,0.941809186338313,0.8953643537605729,0.9712540069346816
resnet50,EigenCAM,brightness,iou,38,0.8702440207954654,0.8069391914928925,0.9147621381595243
resnet50,EigenCAM,noise,pearson,38,0.8957337471263574,0.8619195073080844,0.9236015324616146
resnet50,EigenCAM,noise,ssim,38,0.7947302661097735,0.7604141593557077,0.8268288108785792
resnet50,EigenCAM,noise,iou,38,0.678737448088641,0.6289391974147006,0.7219711489111424
resnet50,GradCAM,blur,pearson,38,0.6503062584304021,0.5464660302855194,0.738311721979113
resnet50,GradCAM,blur,ssim,38,0.5623523070811146,0.5031067966596755,0.619320279967908
resnet50,GradCAM,blur,iou,38,0.4464874379278214,0.3830401326076306,0.5092006077789841
resnet50,GradCAM,rotate,pearson,38,0.7907729660588219,0.7258090560021648,0.8447438318097589
resnet50,GradCAM,rotate,ssim,38,0.6498398255419997,0.6147336632129872,0.6830684113737885
resnet50,GradCAM,rotate,iou,38,0.5401950049138519,0.4778765947651656,0.6029383895932584
resnet50,GradCAM,brightness,pearson,38,0.977352521328748,0.9652502289596786,0.9860842529293191
resnet50,GradCAM,brightness,ssim,38,0.9354935431526262,0.919203608996877,0.9500821858450008
resnet50,GradCAM,brightness,iou,38,0.8274357163227305,0.7922643822510385,0.859346847973553
resnet50,GradCAM,noise,pearson,38,0.659278763488432,0.5656993510875429,0.7363461599481753
resnet50,GradCAM,noise,ssim,38,0.5441532611345368,0.4884666569857598,0.5991664015254582
resnet50,GradCAM,noise,iou,38,0.4289653133034824,0.36228258066643937,0.49327966215099733
resnet50,GradCAM++,blur,pearson,38,0.8106595320772548,0.7666755068224216,0.8491483746030326
resnet50,GradCAM++,blur,ssim,38,0.7449760764341447,0.7090562265033409,0.7786527157283986
resnet50,GradCAM++,blur,iou,38,0.4941020601917603,0.4294812634395604,0.5532968698147879
resnet50,GradCAM++,rotate,pearson,38,0.8598487182260487,0.8248516981740177,0.8887162498257847
resnet50,GradCAM++,rotate,ssim,38,0.7455251909005474,0.7284826373719582,0.7619855594654474
resnet50,GradCAM++,rotate,iou,38,0.5943851320213543,0.5448627812571283,0.6401485607508287
resnet50,GradCAM++,brightness,pearson,38,0.9794647921378685,0.960914431494814,0.9910999406695437
resnet50,GradCAM++,brightness,ssim,38,0.9616590521057643,0.9431721840683059,0.9754411834740274
resnet50,GradCAM++,brightness,iou,38,0.8508848425559109,0.809168433202366,0.8858255713608806
resnet50,GradCAM++,noise,pearson,38,0.8649626741865187,0.8305054073136104,0.8950554324889098
resnet50,GradCAM++,noise,ssim,38,0.7718111691695448,0.7417223652322997,0.8025404148782934
resnet50,GradCAM++,noise,iou,38,0.5892545368147388,0.527663942275659,0.6447148664057808
resnet50,LayerCAM,blur,pearson,38,0.8171658508660561,0.7716310515271384,0.8554951627776255
resnet50,LayerCAM,blur,ssim,38,0.7494363493340013,0.7115587208930754,0.783927598030658
resnet50,LayerCAM,blur,iou,38,0.5018997495757301,0.442821116393387,0.5598104952544585
resnet50,LayerCAM,rotate,pearson,38,0.8636453539437129,0.8307647070873277,0.8926204169712789
resnet50,LayerCAM,rotate,ssim,38,0.7487682693384187,0.7323088140397991,0.7641900062688627
resnet50,LayerCAM,rotate,iou,38,0.5998201288866492,0.549932629862819,0.645175594766695
resnet50,LayerCAM,brightness,pearson,38,0.9797926502456474,0.9603327621113865,0.9913584589386096
resnet50,LayerCAM,brightness,ssim,38,0.9624656776828103,0.9447403361213365,0.9756956333435851
resnet50,LayerCAM,brightness,iou,38,0.8525405630394356,0.8039913117002478,0.8863477684303541
resnet50,LayerCAM,noise,pearson,38,0.8693133370312679,0.8386280860550261,0.8980439521895338
resnet50,LayerCAM,noise,ssim,38,0.7763351439052978,0.7450075581813786,0.8064935562404112
resnet50,LayerCAM,noise,iou,38,0.5956484868808566,0.5368879951268747,0.6509588900331272
